id_loker,pulau,provinsi,job_position,company_name,years_of_experience,years_of_experience_cat,average_processing_time,company_industry,company_size,work_environment_waktu_bekerja,work_environment_gaya_berpakaian,work_environment_gaya_berpakaian_contoh,work_environment_tunjangan,work_environment_bahasa,platform,pendidikan
5587,jawa,dki jakarta,interior design manager,ID Integrated Pte Ltd,10,10 - 14 tahun,11,Pelayanan Arsitek/Desain Interior,1- 50 pekerja,senin - jumat,formal,kemeja polos & dasi,tidak tersedia,inggris,jobstreet,tidak dicantumkan
5588,jawa,jawa timur,crm support consultant,Viseo Pte Ltd Inc.,4,0 - 4 tahun,6,Konsultasi (Bisnis & Manajemen),1001 - 2000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum",inggris,jobstreet,tidak dicantumkan
5589,jawa,dki jakarta,telemarketer / phone dating consultant,Lunch Actually (PT Lunch Actually Jaya),0,0 - 4 tahun,tidak tersedia,Perawatan/Kecantikan/Fitnes,51 - 200 pekerja,senin - sabtu,bisnis,kemeja,kesehatan,inggris,jobstreet,tidak dicantumkan
5590,jawa,dki jakarta,programmer,Goblin Gamer Company Limited,3,0 - 4 tahun,8,Komputer/Teknik Informatika (Perangkat Lunak),51 - 200 pekerja,tidak spesifik,kasual,kaos,umum,inggris,jobstreet,tidak dicantumkan
5591,jawa,dki jakarta,it planner for finance,PT Smartfren Telecom Tbk,3,0 - 4 tahun,14,Telekomunikasi,2001 - 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum","indonesia, inggris",jobstreet,s1
5592,jawa,dki jakarta,legal staff registrasi kemenkes,PT Cobra Dental Indonesia,1,0 - 4 tahun,14,Retail/Merchandise,201 - 500 pekerja,senin - sabtu,bisnis,kemeja,"kesehatan, umum",indonesia,jobstreet,d3
5593,jawa,jawa tengah,instrument technician,PT. Elabram Systems,13,10 - 14 tahun,14,Manajemen/Konsulting HR,51 - 200 pekerja,tidak tersedia,tidak spesifik,tidak spesifik,tidak tersedia,tidak dicantumkan,jobstreet,s1
5594,jawa,banten,sales supervisor,PT Menara Sejuk Sentosa,5,5 - 9 tahun,1,Elektrikal & Elektronik,1- 50 pekerja,senin - sabtu,bisnis,kemeja,tidak tersedia,indonesia,jobstreet,d3
5595,jawa,di yogyakarta,general affair staff,Perusahaan Dirahasiakan,2,0 - 4 tahun,tidak tersedia,tidak tersedia,tidak spesifik,tidak tersedia,tidak spesifik,tidak spesifik,tidak tersedia,tidak dicantumkan,jobstreet,s1
5596,jawa,dki jakarta,crm general manager,PT Home Center Indonesia ( Informa Furnishings ),10,10 - 14 tahun,14,Retail/Merchandise,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum",indonesia,jobstreet,tidak dicantumkan
5597,jawa,dki jakarta,product program development officer,Kompas Gramedia - Grid Network,1,0 - 4 tahun,14,Jurnalisme,1- 50 pekerja,senin - jumat,kasual,kaos,"kesehatan, pendidikan",indonesia,jobstreet,s1
5598,jawa,di yogyakarta,hr generalist,Perusahaan Dirahasiakan,2,0 - 4 tahun,tidak tersedia,tidak tersedia,tidak spesifik,tidak tersedia,tidak spesifik,tidak spesifik,tidak tersedia,tidak dicantumkan,jobstreet,s1
5599,sumatera,riau,mill manager pks,yuni bersaudara sejahtera,8,5 - 9 tahun,3,Agrikultural/Perkebunan/Peternakan Unggas/Perikanan,1- 50 pekerja,senin - jumat,kasual,kaos,umum,indonesia,jobstreet,"d3, s1"
5600,jawa,dki jakarta,digital strategist,twin digital,1,0 - 4 tahun,14,Percetakan/Penerbitan,51 - 200 pekerja,senin - sabtu,bisnis,kemeja,umum,indonesia,jobstreet,"d3, s1"
5601,jawa,dki jakarta,graphic designer,Kamarun Social Media,1,0 - 4 tahun,1,Periklanan/Marketing/Promosi/Hubungan Masyarakat,1- 50 pekerja,senin - jumat,kasual,kaos,umum,indonesia,jobstreet,s1
