id_loker,provinsi,pendidikan
178,sulawesi utara,TIDAK DICANTUMKAN
179,sulawesi utara,TIDAK DICANTUMKAN
180,maluku utara,D3
181,dki jakarta,TIDAK DICANTUMKAN
182,jawa timur,S1
182,jawa timur,D3
182,jawa timur,PROFESI
182,jawa timur,S3
183,dki jakarta,TIDAK DICANTUMKAN
184,jawa timur,S1
185,jawa timur,S1
186,dki jakarta,SMA
187,tidak diketahui,PROFESI
188,sulawesi tengah,D3
188,sulawesi tengah,S1
189,dki jakarta,S1
190,dki jakarta,S1
191,jawa timur,S1
192,dki jakarta,D3
192,dki jakarta,S1
193,bali,S1
194,tidak diketahui,TIDAK DICANTUMKAN
195,sulawesi utara,PROFESI
196,sulawesi selatan,D3
197,sumatera utara,S1
198,dki jakarta,S1
199,dki jakarta,S1
200,dki jakarta,D3
200,dki jakarta,S1
201,riau,S1
202,jawa timur,TIDAK DICANTUMKAN
203,dki jakarta,S1
204,dki jakarta,S1
205,dki jakarta,TIDAK DICANTUMKAN
206,dki jakarta,S1
207,banten,TIDAK DICANTUMKAN
208,dki jakarta,S2
208,dki jakarta,S1
209,dki jakarta,S1
210,kepulauan riau,TIDAK DICANTUMKAN
211,jawa timur,S1
212,dki jakarta,S1
213,jawa timur,D3
214,dki jakarta,S1
215,jawa timur,D3
216,dki jakarta,S1
216,dki jakarta,S2
217,dki jakarta,S1
218,jawa timur,S1
219,dki jakarta,D3
219,dki jakarta,S1
220,banten,S1
221,jawa timur,S1
222,tidak diketahui,S1
223,jawa barat,D3
223,jawa barat,S1
224,dki jakarta,S1
225,banten,S1
226,dki jakarta,TIDAK DICANTUMKAN
227,sumatera utara,D3
228,dki jakarta,S1
229,jawa timur,TIDAK DICANTUMKAN
230,banten,D3
230,banten,S1
231,dki jakarta,S1
232,jawa timur,S1
233,tidak diketahui,SMA
234,dki jakarta,TIDAK DICANTUMKAN
235,dki jakarta,D3
236,jawa barat,S1
237,dki jakarta,D3
237,dki jakarta,S1
238,jawa timur,TIDAK DICANTUMKAN
239,sumatera utara,S1
240,jawa barat,D3
241,jawa barat,S1
242,jawa timur,D3
242,jawa timur,S1
243,jawa barat,S1
244,jawa tengah,TIDAK DICANTUMKAN
245,banten,SMA
246,jawa barat,D3
246,jawa barat,S1
247,tidak diketahui,TIDAK DICANTUMKAN
248,banten,S1
249,jawa timur,PROFESI
249,jawa timur,S1
250,jawa barat,S1
251,jawa timur,D3
252,jawa timur,TIDAK DICANTUMKAN
253,dki jakarta,S1
253,dki jakarta,S2
253,dki jakarta,S3
254,dki jakarta,S1
255,banten,TIDAK DICANTUMKAN
256,banten,TIDAK DICANTUMKAN
257,dki jakarta,S1
258,dki jakarta,D3
259,dki jakarta,D3
260,jawa barat,D3
260,jawa barat,S1
261,dki jakarta,D3
262,dki jakarta,D3
263,dki jakarta,D3
264,jawa timur,S1
265,bali,TIDAK DICANTUMKAN
266,banten,D3
267,dki jakarta,TIDAK DICANTUMKAN
268,jawa tengah,SMA
269,dki jakarta,S1
269,dki jakarta,S2
270,dki jakarta,S1
271,dki jakarta,S1
272,banten,D3
272,banten,S1
273,dki jakarta,SMP
274,dki jakarta,S1
275,banten,S1
276,dki jakarta,D3
277,lampung,D3
278,jawa barat,TIDAK DICANTUMKAN
279,sumatera utara,D3
279,sumatera utara,S1
280,tidak diketahui,D3
281,dki jakarta,TIDAK DICANTUMKAN
282,lampung,TIDAK DICANTUMKAN
283,jawa timur,S1
284,jawa timur,S1
285,dki jakarta,S1
286,lampung,TIDAK DICANTUMKAN
287,dki jakarta,S1
288,kalimantan timur,TIDAK DICANTUMKAN
289,riau,S1
290,lampung,S1
291,banten,D3
291,banten,S1
292,jawa barat,D3
292,jawa barat,S1
293,dki jakarta,D3
293,dki jakarta,S1
294,dki jakarta,S1
294,dki jakarta,D4
295,sulawesi selatan,S1
296,dki jakarta,TIDAK DICANTUMKAN
297,dki jakarta,S1
298,jawa barat,D3
298,jawa barat,S1
299,bali,PROFESI
300,di yogyakarta,D3
300,di yogyakarta,S1
300,di yogyakarta,PROFESI
301,nusa tenggara barat,S1
302,dki jakarta,PROFESI
303,jawa barat,S1
304,dki jakarta,TIDAK DICANTUMKAN
305,dki jakarta,S1
306,dki jakarta,TIDAK DICANTUMKAN
307,dki jakarta,SMA
307,dki jakarta,D3
307,dki jakarta,S1
308,gorontalo,S1
309,dki jakarta,S1
310,dki jakarta,S1
311,dki jakarta,TIDAK DICANTUMKAN
312,jawa barat,D3
312,jawa barat,S1
313,dki jakarta,TIDAK DICANTUMKAN
314,dki jakarta,S1
315,dki jakarta,S1
316,dki jakarta,S2
316,dki jakarta,S1
317,dki jakarta,S1
318,jawa barat,PROFESI
318,jawa barat,D3
318,jawa barat,S1
318,jawa barat,S2
318,jawa barat,S3
319,banten,S1
320,dki jakarta,S1
320,dki jakarta,D3
320,dki jakarta,PROFESI
320,dki jakarta,S3
321,dki jakarta,TIDAK DICANTUMKAN
322,tidak diketahui,TIDAK DICANTUMKAN
